CITY_NAME	GENERIC_LOCATION_CODE	TIME_ZONE	STATUS_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DEFAULT_LONG_NAME	DEFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	ADDRESS	LATITUDE	LOCATION_TYPE_CODE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	PROVINCE_STATE_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	492287	CET	1	DE		Einkaufszentrum, Nag	Einkaufszentrum, Nag				483238N	29	084350E					NVS	492287	UIC
	492495	CET	1	DE		Rathaus, Heinersreut	Rathaus, Heinersreut				495803N	29	113155E					NVS	492495	UIC
	492771	CET	1	DE		Bahnhofstr., Beimers	Bahnhofstr., Beimers				482854N	29	095902E					NVS	492771	UIC
	493281	CET	1	DE		Eisenharz Ort, Argen	Eisenharz Ort, Argen				474117N	29	095730E					NVS	493281	UIC
	493282	CET	1	DE		Gaischachen Geray, A	Gaischachen Geray, A				474039N	29	095820E					NVS	493282	UIC
	494181	CET	1	DE		Vorstadt Adler, Isny	Vorstadt Adler, Isny				474137N	29	100251E					NVS	494181	UIC
	494190	CET	1	DE		Bolsternang Gasthof,	Bolsternang Gasthof,				474026N	29	100645E					NVS	494190	UIC
	846782	CET	1	DE		Bolsternang Überruh,	Bolsternang Überruh				474026N	29	100645E					NVS	846782	UIC
	494232	CET	1	DE		Schule, Grünenbach	Schule, Grünenbach				474838N	29	100354E					NVS	494232	UIC
	496495	CET	1	DE		Obernsees Staatsstra	Obernsees Staatsstra				495458N	29	112311E					NVS	496495	UIC
	496655	CET	1	DE		Krichelnweg, Staufen	Krichelnweg, Staufen				475434N	29	075329E					NVS	496655	UIC
	498181	CET	1	DE		Klengen Bahnhofstraß	Klengen Bahnhofstra				480033N	29	082757E					NVS	498181	UIC
	498277	CET	1	DE		Bahnhof (Bus), Geisi	Bahnhof (Bus), Geisi				475519N	29	083901E					NVS	498277	UIC
	498402	CET	1	DE		Stadtkirche, Furtwan	Stadtkirche, Furtwan				480304N	29	081220E					NVS	498402	UIC
	498418	CET	1	DE		Grundbächle, Schonac	Grundbächle, Schona				480825N	29	081205E					NVS	498418	UIC
	498505	CET	1	DE		Bahnhof, Buggingen	Bahnhof, Buggingen				475112N	29	073753E					NVS	498505	UIC
	498546	CET	1	DE		Bahnhof, Neuenburg a	Bahnhof, Neuenburg a				475227N	29	073529E					NVS	498546	UIC
	498577	CET	1	DE		Industriepark Ost/DA	Industriepark Ost/DA				474418N	29	084741E					NVS	498577	UIC
	498895	CET	1	DE		Bahnhof, Scheßlitz	Bahnhof, Scheßlitz				495820N	29	110139E					NVS	498895	UIC
	499483	CET	1	DE		Haltingen Zentrum, W	Haltingen Zentrum, W				473652N	29	073649E					NVS	499483	UIC
	499545	CET	1	DE		Istein Rathaus, Efri	Istein Rathaus, Efri				473936N	29	073221E					NVS	499545	UIC
	499551	CET	1	DE		Markushof, Bad Belli	Markushof, Bad Belli				474354N	29	073315E					NVS	499551	UIC
	499573	CET	1	DE		Rathaus, Weil am Rhe	Rathaus, Weil am Rhe				473532N	29	073639E					NVS	499573	UIC
	499577	CET	1	DE		Jechtingen Ortschaft	Jechtingen Ortschaft				480710N	29	073625E					NVS	499577	UIC
	499589	CET	1	DE		Evangelische Kirche,	Evangelische Kirche,				484719N	29	092030E					NVS	499589	UIC
	499595	CET	1	DE		Moosmatt, Badenweile	Moosmatt, Badenweile				474831N	29	074126E					NVS	499595	UIC
	499608	CET	1	DE		Parkplatz West, Bade	Parkplatz West, Bade				474758N	29	073958E					NVS	499608	UIC
	499640	CET	1	DE		Vitteler Platz, Bade	Vitteler Platz, Bade				474814N	29	074032E					NVS	499640	UIC
	499644	CET	1	DE		Oberweiler, Badenwei	Oberweiler, Badenwei				474830N	29	074015E					NVS	499644	UIC
	499647	CET	1	DE		Sportbad, Badenweile	Sportbad, Badenweile				474834N	29	074042E					NVS	499647	UIC
	499660	CET	1	DE		Wohn-Schick, Rottwei	Wohn-Schick, Rottwei				480853N	29	083832E					NVS	499660	UIC
	499699	CET	1	DE		Lehrstraße, Rottweil	Lehrstraße, Rottwei				480942N	29	083850E					NVS	499699	UIC
	500001	CET	1	DE		Hauptbahnhof ZOB, Fr	Hauptbahnhof ZOB, Fr				475840N	29	075412E					NVS	500001	UIC
	500045	CET	1	DE		Wasenweiler Sonne, I	Wasenweiler Sonne, I				480305N	29	074051E					NVS	500045	UIC
	500046	CET	1	DE		Winzerstube, Ihringe	Winzerstube, Ihringe				480233N	29	073903E					NVS	500046	UIC
	500047	CET	1	DE		Stockbrunnen, Ihring	Stockbrunnen, Ihring				480243N	29	073846E					NVS	500047	UIC
	500077	CET	1	DE		Mundingen B3, Emmend	Mundingen B3, Emmend				480742N	29	074942E					NVS	500077	UIC
	500145	CET	1	DE		Buchholz Kirche, Wal	Buchholz Kirche, Wal				480451N	29	075500E					NVS	500145	UIC
	500189	CET	1	DE		Niederwinden Schule,	Niederwinden Schule,				480829N	29	080111E					NVS	500189	UIC
	500230	CET	1	DE		Wolfenweiler B3, Sch	Wolfenweiler B3, Sch				475733N	29	074553E					NVS	500230	UIC
	500235	CET	1	DE		Buchholz Vogesenstra	Buchholz Vogesenstra				480452N	29	075444E					NVS	500235	UIC
	500251	CET	1	DE		Oberwinden Adler, Wi	Oberwinden Adler, Wi				480914N	29	080231E					NVS	500251	UIC
	500355	CET	1	DE		Im Grün, Bad Krozing	Im Grün, Bad Krozin				475459N	29	074206E					NVS	500355	UIC
	500394	CET	1	DE		Ilbenstraße, Furtwan	Ilbenstraße, Furtwa				480252N	29	081156E					NVS	500394	UIC
	80G0154	CET	2	DE		Furtwangen	Furtwangen				480258N	29	081156E					NVS	8002160	UIC
	500640	CET	1	DE		Bonnevilleplatz, Sta	Bonnevilleplatz, Sta				475251N	29	074348E					NVS	500640	UIC
	500729	CET	1	DE		Kur Stift, Bad Dürrh	Kur Stift, Bad Dürr				480144N	29	083151E					NVS	500729	UIC
	500730	CET	1	DE		Adlerplatz II, Bad D	Adlerplatz II, Bad D				480125N	29	083146E					NVS	500730	UIC
	501311	CET	1	DE		Adlerplatz I, Bad Dü	Adlerplatz I, Bad D				480125N	29	083146E					NVS	501311	UIC
	8000699	CET	2	DE		Bad Dürrheim	Bad Dürrheim				480124N	29	083146E					NVS	8000699	UIC
	500785	CET	1	DE		Klengen Hauptstraße,	Klengen Hauptstraße				480020N	29	082803E					NVS	500785	UIC
	500787	CET	1	DE		Kirchdorf Apotheke,	Kirchdorf Apotheke,				480056N	29	082812E					NVS	500787	UIC
	500846	CET	1	DE		Bahnhof, St. Georgen	Bahnhof, St. Georgen				480939N	29	081808E					NVS	500846	UIC
	500857	CET	1	DE		Frejusstraße/Abzw. B	Frejusstraße/Abzw. 				480815N	29	081417E					NVS	500857	UIC
	500865	CET	1	DE		Haus des Gastes, Sch	Haus des Gastes, Sch				480831N	29	081153E					NVS	500865	UIC
	500872	CET	1	DE		Auf'm Bühl, Schönwal	Auf'm Bühl, Schönw				480626N	29	081222E					NVS	500872	UIC
	500877	CET	1	DE		Arche, Furtwangen im	Arche, Furtwangen im				480324N	29	081211E					NVS	500877	UIC
	500946	CET	1	DE		Schiltachstraße, Sch	Schiltachstraße, Sc				481353N	29	082257E					NVS	500946	UIC
	501018	CET	1	DE		Stadtarchiv, Schramb	Stadtarchiv, Schramb				481356N	29	082255E					NVS	501018	UIC
	500959	CET	1	DE		Tuttlinger Straße 8,	Tuttlinger Straße 8				480356N	29	084545E					NVS	500959	UIC
	500961	CET	1	DE		Balgheim(Württ) Tutt	Balgheim(Württ) Tut				480352N	29	084550E					NVS	500961	UIC
	500966	CET	1	DE		B14, Rietheim-Weilhe	B14, Rietheim-Weilhe				480217N	29	084636E					NVS	500966	UIC
	500967	CET	1	DE		Untere Hauptstraße,	Untere Hauptstraße,				480218N	29	084638E					NVS	500967	UIC
	501013	CET	1	DE		Sulgen Rose, Schramb	Sulgen Rose, Schramb				481341N	29	082508E					NVS	501013	UIC
	501014	CET	1	DE		Hans Sachs, Schrambe	Hans Sachs, Schrambe				481355N	29	082359E					NVS	501014	UIC
	501015	CET	1	DE		HAU, Schramberg	HAU, Schramberg				481346N	29	082333E					NVS	501015	UIC
	501016	CET	1	DE		Paradiesplatz, Schra	Paradiesplatz, Schra				481343N	29	082315E					NVS	501016	UIC
	501017	CET	1	DE		Karl-Diehl-Halle, Sc	Karl-Diehl-Halle, Sc				481342N	29	082304E					NVS	501017	UIC
