ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		CZ		Bohunice	Bohunice				000000N	29	000000E					5460522	UIC
	CET		1		CZ		Chvalesovice	Chvalesovice				000000N	29	000000E					5465890	UIC
	CET		1		CZ		Hradce	Hradce				000000N	29	000000E					5476073	UIC
	CET		1		CZ		Tyn nad Vltavou	Tyn nad Vltavou				000000N	29	000000E					5480146	UIC
	CET		1		CZ		Ujezdec u Cicenic	Ujezdec u Cicenic				000000N	29	000000E					5481746	UIC
	CET		1		CZ		Temelin	Temelin				000000N	29	000000E					5489666	UIC
	CET		1		CZ		Lhota pod Horami	Lhota pod Horami				000000N	29	000000E					5490210	UIC
	CET		1		HU		Csorna	Csorna				473606N	29	171456E					5502576	UIC
	CET		1		HU		Kimle	Kimle				474814N	29	172032E					5550653	UIC
	CET		1		HU		Homokszentlörinc	Homokszentlörinc				465429N	29	191109E					5551538	UIC
	CET		1		SK		Dunajska Streda	Dunajska Streda				475935N	29	173631E					5614736	UIC
	CET		1		SK		Velky Meder	Velky Meder				475140N	29	174653E					5614806	UIC
	CET		1		SK		Zemianska Olca	Zemianska Olca				474734N	29	175402E					5638786	UIC
	CET		1		SK		Okoc	Okoc				475140N	29	174653E					5665018	UIC
	CET		1		SK		Zlatna na Ostrove	Zlatna na Ostrove				474608N	29	180733E					5686786	UIC
	CET		1		SK		Podunajske Biskupice	Podunajske Biskupice				480752N	29	171314E					5688378	UIC
	CET		1		DK		Demir Kapija	Demir Kapija				000000N	29	000000E					6595479	UIC
	CET		1		UK		London S Pancras Int	London S Pancras Int				000000N	29	000000E					6915400	UIC
	CET		1		GB		London St Pancras	London St Pancras				513153N	29	000734W					7015550	UIC
	CET		1		ES		Badajoz(fr)	Badajoz(fr)				000000N	29	000000E					7164057	UIC
	CET		1		ES		Guadalajara-Yebes	Guadalajara-Yebes				403511N	29	030735W					7175593	UIC
	CET		1		SE		Hyllie stn	Hyllie stn				553347N	29	125836E					7401585	UIC
	CET		1		SE		Triangeln stn	Triangeln stn				553539N	29	130001E					7401586	UIC
	CET		1		SE		Hoting	Hoting				640627N	29	161039E					7450067	UIC
	CET		1		SE		Storuman	Storuman				650546N	29	170643E					7450094	UIC
	CET		1		TR		Manisa	Manisa				383715N	29	272608E					7550050	UIC
	CET		1		TR		Pendik	Pendik				405247N	29	291352E					7551609	UIC
	CET		1		DE		Bonn UN Campus	Bonn UN Campus				504252N	29	070705E					8001091	UIC
	CET		1		DE		Einbeck Mitte.	Einbeck Mitte.				514906N	29	095226E					8001717	UIC
	CET		1		DE		Hildbrandsgrün	Hildbrandsgrün				501120N	29	114727E					8002827	UIC
	CET		1		DE		Railway Germany	Railway Germany				480534N	29	112401E					8004937	UIC
	CET		1		DE		Schopfheim-Schlatth.	Schopfheim-Schlatth.				000000N	29	000000E					8005426	UIC
	CET		1		DE		Waidhaus Zubringer	Waidhaus Zubringer				000000N	29	000000E					8006142	UIC
	CET		1		DE		Enschede	Enschede				000000N	29	000000E					8006828	UIC
	CET		1		DE		Landgraaf	Landgraaf				000000N	29	000000E					8006829	UIC
	CET		1		DE		Heerlen	Heerlen				000000N	29	000000E					8006830	UIC
	CET		1		DE		Amsterdam	Amsterdam				000000N	29	000000E					8006831	UIC
	CET		1		DE		Sassnitz Fährhafen	Sassnitz Fährhafen				000000N	29	000000E					8012844	UIC
	CET		1		DE		Oberhof(Thür) Stadt	Oberhof(Thür) Stadt				504103N	29	104234E					8017451	UIC
	CET		1		DE		Chemnitz TU Campus	Chemnitz TU Campus				505021N	29	125548E					8017479	UIC
	CET		1		DE		Chemnitz Rosenbergst	Chemnitz Rosenbergst				504925N	29	125534E					8017480	UIC
	CET		1		DE		Chemnitz Technopark	Chemnitz Technopark				505021N	29	125548E					8017481	UIC
	CET		1		DE		Bad Pyrmont (TGem)	Bad Pyrmont (TGem)				515828N	29	091619E					8040401	UIC
	CET		1		DE		Emmerthal (TGem)	Emmerthal (TGem)				000000N	29	000000E					8040402	UIC
	CET		1		DE		Hameln (TGem)	Hameln (TGem)				520606N	29	092232E					8040403	UIC
	CET		1		DE		Hessisch Old. (TGem)	Hessisch Old. (TGem)				000000N	29	000000E					8040404	UIC
	CET		1		DE		Bissendorf (TGem)	Bissendorf (TGem)				000000N	29	000000E					8040408	UIC
	CET		1		DE		Dissen (TGem)	Dissen (TGem)				000000N	29	000000E					8040409	UIC
	CET		1		DE		Georgsmarien. (TGem)	Georgsmarien. (TGem)				000000N	29	000000E					8040410	UIC
	CET		1		DE		Hagen (TGem)	Hagen (TGem)				512146N	29	072738E					8040411	UIC
	CET		1		DE		Hasbergen (TGem)	Hasbergen (TGem)				521430N	29	075712E					8040412	UIC
	CET		1		DE		Hilter (TGem)	Hilter (TGem)				000000N	29	000000E					8040413	UIC
	CET		1		DE		Melle (TGem)	Melle (TGem)				000000N	29	000000E					8040414	UIC
	CET		1		DE		Rinteln (TGem)	Rinteln (TGem)				521156N	29	090440E					8040415	UIC
	CET		1		DE		Gießen (TGem)	Gießen (TGem)				000000N	29	000000E					8040416	UIC
	CET		1		DE		Lollar (TGem)	Lollar (TGem)				000000N	29	000000E					8040417	UIC
	CET		1		DE		Schwalmstadt (TGem)	Schwalmstadt (TGem)				505437N	29	091108E					8040418	UIC
	CET		1		DE		Kassel (TGem)	Kassel (TGem)				511846N	29	092651E					8040419	UIC
	CET		1		DE		Baunatal (TGem)	Baunatal (TGem)				000000N	29	000000E					8040421	UIC
	CET		1		DE		Espenau (TGem)	Espenau (TGem)				000000N	29	000000E					8040422	UIC
	CET		1		DE		Grebenstein (TGem)	Grebenstein (TGem)				000000N	29	000000E					8040423	UIC
	CET		1		DE		Hofgeismar (TGem)	Hofgeismar (TGem)				000000N	29	000000E					8040424	UIC
	CET		1		DE		Immenhausen (TGem)	Immenhausen (TGem)				000000N	29	000000E					8040425	UIC
	CET		1		DE		Liebenau (TGem)	Liebenau (TGem)				000000N	29	000000E					8040426	UIC
	CET		1		DE		Vellmar (TGem)	Vellmar (TGem)				512106N	29	092842E					8040427	UIC
	CET		1		DE		Aßlar (TGem)	Aßlar (TGem)				000000N	29	000000E					8040428	UIC
	CET		1		DE		Dillenburg (TGem)	Dillenburg (TGem)				504405N	29	081738E					8040429	UIC
	CET		1		DE		Ehringshausen (TGem)	Ehringshausen (TGem)				000000N	29	000000E					8040430	UIC
	CET		1		DE		Haiger (TGem)	Haiger (TGem)				504429N	29	081316E					8040431	UIC
	CET		1		DE		Herborn (TGem)	Herborn (TGem)				504104N	29	081827E					8040432	UIC
	CET		1		DE		Sinn (TGem)	Sinn (TGem)				000000N	29	000000E					8040433	UIC
	CET		1		DE		Wetzlar (TGem)	Wetzlar (TGem)				503356N	29	083014E					8040434	UIC
	CET		1		DE		Biedenkopf (TGem)	Biedenkopf (TGem)				000000N	29	000000E					8040435	UIC
	CET		1		DE		Cölbe (TGem)	Cölbe (TGem)				000000N	29	000000E					8040436	UIC
	CET		1		DE		Dautphetal (TGem)	Dautphetal (TGem)				000000N	29	000000E					8040437	UIC
	CET		1		DE		Fronhausen (TGem)	Fronhausen (TGem)				504222N	29	084156E					8040438	UIC
	CET		1		DE		Lahntal (TGem)	Lahntal (TGem)				000000N	29	000000E					8040439	UIC
	CET		1		DE		Marburg (TGem)	Marburg (TGem)				504908N	29	084628E					8040440	UIC
	CET		1		DE		Weimar(Lahn) (TGem)	Weimar(Lahn) (TGem)				000000N	29	000000E					8040441	UIC
