CITY_NAME|GENERIC_LOCATION_CODE|TIME_ZONE|STATUS_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|ADDRESS|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|PROVINCE_STATE_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|83G0040|CET|1|IT||REGGIO DI CALABRIA|REGGIO DI CALABRIA||||380723N|26|153907E|||||FRR|831A002|RDS
|8399002|CET|1|IT||MILAN|MILAN||||452909N|26|091215E|||||FRR|831A003|RDS
|8399005|CET|1|IT||NAPLES|NAPLES||||405110N|26|141620E|||||FRR|831A005|RDS
|83G0049|CET|1|IT||TURIN|TURIN||||450415N|26|073922E|||||FRR|831A006|RDS
|83G0017|CET|1|IT||FLORENCE|FLORENCE||||441331N|26|120135E|||||FRR|831A007|RDS
|8313516|CET|1|IT||RIMINI|RIMINI||||440351N|26|123427E|||||FRR|831A008|RDS
|831A009|CET|1|IT||BOLOGNE|BOLOGNE||||415448N|26|123115E|||||FRR|831A009|RDS
|83G0052|CET|1|IT||VENISE|VENISE||||452602N|26|121815E|||||FRR|831A010|RDS
|83G0053|CET|1|IT||VERONE|VERONE||||452553N|26|105851E|||||FRR|831A011|RDS
|83G0009|CET|1|IT||BRINDISI|BRINDISI||||403803N|26|175620E|||||FRR|831A012|RDS
|83G0044|CET|1|IT||SESTO|SESTO||||453228N|26|091420E|||||FRR|831A013|RDS
|83G0028|CET|1|IT||MESSINE|MESSINE||||381120N|26|153346E|||||FRR|831A014|RDS
|83G0026|CET|1|IT||LIMONE|LIMONE||||454849N|26|104730E|||||FRR|831A015|RDS
|831A016|CET|1|CH||CHIASSO|CHIASSO||||434310N|26|103200E|||||FRR|831A016|RDS
|831A017|CET|1|IT||DOMODOSSOLA|DOMODOSSOLA||||452852N|26|090943E|||||FRR|831A017|RDS
|83G0058|CET|1|IT||ROME AEROPORT|ROME AEROPORT||||414755N|26|123528E|||||FRR|831A018|RDS
|83G0059|CET|1|IT||RHO|RHO||||453126N|26|090236E|||||FRR|831A019|RDS
