CODE_VALUE|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|LOCATION_TYPE_CODE|DATA_OWNER|GENERIC_LOCATION_CODE
871A035|BAR SUR AUBE|BAR SUR AUBE|26|FRR|87G0025
871A037|ST DENIS|ST DENIS|26|FRR|87G0431
871A038|TOURS|TOURS|26|FRR|87G0507
871A040|CHAVILLE|CHAVILLE|26|FRR|87G0109
871A041|VITRY LE FRANCOIS|VITRY LE FRANCOIS|26|FRR|87G0533
871A042|VILLENEUVE ST GEORGES|VILLENEUVE ST GEORGE|26|FRR|87G0526
871A043|HENDAYE|HENDAYE|26|FRR|87G0194
871A044|BALE|BALE|26|FRR|87G0023
871A047|MENTON|MENTON|26|FRR|87G0302
871A049|VIEVOLA|VIEVOLA|26|FRR|87G0520
871A051|ST SEVER 14|ST SEVER 14|26|FRR|87G0486
871A052|VIRE|VIRE|26|FRR|87G0530
871A053|MARANS|MARANS|26|FRR|87G0286
871A054|PONTRIEUX|PONTRIEUX|26|FRR|87G0362
871A056|CONCARNEAU|CONCARNEAU|26|FRR|87G0123
871A057|COLOMIERS|COLOMIERS|26|FRR|87G0122
871A058|LABEGE|LABEGE|26|FRR|87G0224
871A059|LUNEL|LUNEL|26|FRR|87G0279
871A060|ACHERES|ACHERES|26|FRR|8738165
871A061|PONT ROUSSEAU|PONT ROUSSEAU|26|FRR|87G0360
871A063|REIMS|REIMS|26|FRR|87G0378
871A064|LOUVERNE|LOUVERNE|26|FRR|87G0277
871A065|MAYENNE|MAYENNE|26|FRR|87G0300
871A066|ARNAGE|ARNAGE|26|FRR|87G0012
871A068|ST PIERRE QUIBERON|ST PIERRE QUIBERON|26|FRR|87G0480
871A069|FORBACH|FORBACH|26|FRR|87G0173
871A070|SARREGUEMINES|SARREGUEMINES|26|FRR|87G0403
871A071|NOMAIN|NOMAIN|26|FRR|87G0342
871A072|CROIX|CROIX|26|FRR|87G0137
871A074|JEUMONT|JEUMONT|26|FRR|87G0202
871A075|BELLEGARDE|BELLEGARDE|26|FRR|87G0035
871A077|MERTZWILLER|MERTZWILLER|26|FRR|87G0303
871A078|ST LOUIS|ST LOUIS|26|FRR|87G0464
871A079|THANN|THANN|26|FRR|87G0499
871A080|EU|EU|26|FRR|87G0161
871A081|HARFLEUR|HARFLEUR|26|FRR|87G0192
871A086|VIROFLAY|VIROFLAY|26|FRR|87G0531
871A087|SEVRES|SEVRES|26|FRR|87G0413
871A088|ANGERS|ANGERS|26|FRR|87G0009
871A090|CANNES|CANNES|26|FRR|87G0077
871A091|CALVI|CALVI|26|FRR|87G0073
871A092|COLMAR|COLMAR|26|FRR|87G0121
871A094|DIJON|DIJON|26|FRR|87G0148
871A095|DOLE|DOLE|26|FRR|87G0151
871A096|DIEPPE|DIEPPE|26|FRR|87G0146
871A097|DOURDAN|DOURDAN|26|FRR|87G0154
871A100|SOULAC SUR MER|SOULAC SUR MER|26|FRR|87G0415
871A102|HOMBOURG|HOMBOURG|26|FRR|87G0196
871A103|CHARTRES|CHARTRES|26|FRR|8739400
871A104|NEUVY SAUTOUR|NEUVY SAUTOUR|26|FRR|87G0334
871A105|NANTERRE|NANTERRE|26|FRR|8738631
871A106|ISSY|ISSY|26|FRR|87G0201
871A107|EVRY|EVRY|26|FRR|87G0164
871A108|JOUE LES TOURS|JOUE LES TOURS|26|FRR|87G0203
871A110|LAROCHE|LAROCHE|26|FRR|87G0234
871A111|ALBI|ALBI|26|FRR|87G0006
871A113|LA BAULE|LA BAULE|26|FRR|87G0208
