ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		IT		Taufers i.M./Tubre Grenze	Taufers i.M./Tubre 			8319780	463809N	29	102733E				EVA	8319780	UIC
	CET		1		IT		Glurns/Glorenza Tauferer Tor	Glurns/Glorenza Tau			8320067	464011N	29	103314E				EVA	8320067	UIC
	CET		1		IT		Lasa/Laas	Lasa/Laas			8381186	463706N	29	104144E				EVA	8331186	UIC
	CET		1		IT		Spondigna/Spondinig	Spondigna/Spondinig			8383885	463804N	29	103640E				EVA	8333885	UIC
	CET		1		IT		Coldrano/Goldrain	Coldrano/Goldrain			8384407	463708N	29	104919E				EVA	8384407	UIC
	CET		1		IT		Rablà/Rabland	Rablà/Rabland			8384747	463957N	29	110408E				EVA	8384747	UIC
	CET		1		IT		Lagundo/Algund	Lagundo/Algund			8384968	464044N	29	110755E				EVA	8384968	UIC
	CET		1		IT		Castiglione	Castiglione			8322012	460114N	29	081253E				EVA	8322012	UIC
	CET		1		IT		Domodossola Ospedale	Domodossola Ospeda			8322029	460705N	29	081713E				EVA	8322029	UIC
	CET		1		IT		Domodossola via Turati	Domodossola via Tu			8322036	460715N	29	081720E				EVA	8322036	UIC
	CET		1		IT		Taufers i.M./Tubre St. Johann	Taufers i.M./Tubre 			8385249	463855N	29	102803E				EVA	8385249	UIC
	CET		1		IT		Laatsch/Laudes Calvenbrücke	Laatsch/Laudes Calv			8387429	464005N	29	103043E				EVA	8387429	UIC
	CET		1		IT		Malles stazione/Mals Bahnhof	Malles stazione/Mal			8388348	464104N	29	103257E				EVA	8388348	UIC
	CET		1		IT		Como S. Giovanni (Busbahnhof)	Como S. Giovanni (Bu			8389056	454833N	29	090423E				EVA	8389056	UIC
	CET		1		IT		Como S. Giovanni	Como S. Giovanni			83G0002	454823N	29	090424E				EVA	8301307	UIC
	CET		1		IT		Seregno	Seregno			8301318	453840N	29	091207E				EVA	8301318	UIC
	CET		1		DE		Schaprode	Schaprode			8030747	543047N	29	130955E				EVA	8081011	UIC
	CET		1		IT		Palestro	Palestro			8300271	451822N	29	083158E				EVA	8300662	UIC
	CET		1		IT		Chiavenna	Chiavenna			8301400	461911N	29	092418E				EVA	8300670	UIC
	CET		1		IT		Casalmaggiore	Casalmaggiore			8394958	445927N	29	102525E				EVA	8300679	UIC
	CET		1		DE		Kampen(Sylt) Hamburger Kinderheim	Kampen(Sylt) Hambur			8084119	545828N	29	082125E				EVA	8084119	UIC
	CET		1		IT		Mezzani-Rondani	Mezzani-Rondani			8301851	445748N	29	102350E				EVA	8301796	UIC
