1101022|MŸnchen Hbf Nord IV|MŸnchen Hbf Nord IV|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101060|Mittenwald Dekan-Karl-Platz|Mittenwald Dekan-Ka|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101183|Hamburg Hauptbahnhof Nord (U)|Hamburg Hauptbahnho|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
0100002|FRANKFURT|FRANKFURT|29|CET|000000N|000000E|||||DE|||||1234567|1|AMA
01G0000|MUNICH HBF|MUNICH HBF|29|CET|000000N|000000E|||||DE|||||1234567|1|AMA
1101350|Albbruck Papierfabrik|Albbruck Papierfabr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101351|Murg (Baden), Bahnhof|Murg (Baden), Bahnh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101352|Laufenburg (Baden), Ostbahnhof|Laufenburg (Baden),|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101736|Sigmaringen, Bahnhof|Sigmaringen, Bahnho|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1103000|Weilburg ZOB|Weilburg ZOB|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1105346|Ludwigshafen K-Wilhelm-Strasse|Ludwigshafen K-Wilh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1107218|Friesenheim Ammoniakstrasse 2|Friesenheim Ammonia|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1107618|KŠfertal Jugendverkehrschule 2|KŠfertal Jugendverk|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1107629|KŠfertal Stiller Weg|KŠfertal Stiller We|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1107999|Ludwigshafen Kuttererstrasse 1|Ludwigshafen Kutter|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108011|Ludwigshafen Hauptfriedhof|Ludwigshafen Hauptf|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108014|Ludwigshafen Heinr.-Pesch-Haus|Ludwigshafen Heinr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108015|Ludwigshafen Hemshofstrasse 1|Ludwigshafen Hemsho|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108140|Mannheim Hochuferstrasse 2|Mannheim Hochuferst|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108174|Mannheim Pestalozzischule|Mannheim Pestalozzi|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108175|Mannheim Planetarium|Mannheim Planetariu|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108188|Mannheim Ulmenweg 3|Mannheim Ulmenweg 3|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108194|Mannheim Weberstrasse|Mannheim Weberstras|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108195|Mannheim Werderstrasse|Mannheim Werderstra|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108373|Ludwigshafen Hemshofstrasse 2|Ludwigshafen Hemsho|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108701|Neuostheim Harrlach|Neuostheim Harrlach|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108702|Mannheim Carl-Benz-Stadion|Mannheim Carl-Benz-|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108707|Neuostheim Lucas.Cranach-Str.|Neuostheim Lucas.Cr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108710|Neuostheim Schwindstrasse|Neuostheim Schwinds|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108959|Oggersheim Mannheimer Tor|Oggersheim Mannheim|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108965|Oggersheim Wollstrasse|Oggersheim Wollstra|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108966|Oggersheim Wilhelm-Tell-Str.|Oggersheim Wilhelm-|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1108982|Ludwigshafen Oppau SŸd BASF|Ludwigshafen Oppau |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1110282|Waldhof FreilichtbŸhne 3|Waldhof FreilichtbŸ|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1110292|Waldhof Waldfriedhof G.stadt 1|Waldhof Waldfriedho|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1110634|Kassel Hegelsbergstrasse|Kassel Hegelsbergst|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
