425696	Kirche| Laudenbach (	29	425696				1
425769	Kirche| Schneeberg (	29	425769				1
425775	Burghöfe| Burgrieden	29	490833				1
425886	Busbahnhof Stadtmitt	29	425886				1
425887	Feuerwehr| Alzenau i	29	425887				1
425888	Michelbach (Ufr.) Ba	29	425888				1
425895	Niedersteinbach Bahn	29	425895				1
425896	Strötzbach Giesbert|	29	425896				1
425897	Bahnhof| Mömbris	29	425897				1
425900	Niedersteinbach Born	29	425900				1
425907	Sittinger| Alzenau i	29	425907				1
425909	Wasserloser Str.| Al	29	425909				1
425959	Niedernberger Str.|	29	425959				1
426095	Pollanten Nord| Berc	29	461543				1
426381	Bahnhof| Weilbach	29	426381				1
426385	Breitendiel Kinderga	29	426385				1
426395	Bahnhof| Kleinheubac	29	426395				1
427047	Gudulakirche| Rhede	29	411216				1
427347	Kälberau Hemsbacher	29	427347				1
427349	Kälberau Bahnhofstr.	29	427349				1
428120	Obernburg-Elsenfeld	29	428120				1
428255	Busbahnhof| Bad Bern	29	462531				1
428495	Großeibstadt	29	465456				1
428575	Ortsmitte| Steinwies	29	464877				1
430327	Mannweiler| Mannweil	29	405637				1
430575	Wallfahrtskiche Birn	29	491200				1
430655	Hauptstraße| Gädheim	29	465427				1
431375	Riß Rathaus| Hochdor	29	490787				1
432495	Gh. Engel| Neustadt	29	466710				1
432550	Eckarts Haltepunkt|	29	466347				1
433855	Reinsbronn Ort| Creg	29	421828				1
434070	Altengronau| Sinntal	29	466340				1
436727	Bayerfeld Bahnhof| B	29	405639				1
437295	Heustreu	29	465489				1
437375	Rathaus| Uttenreuth	29	460721				1
438017	Kopp| Kahl a. Main	29	438017				1
438575	Mühlhofen Sonne| Uhl	29	491240				1
438975	Plankstetten Ost| Be	29	461549				1
439127	Bahnhof| Raumbach	29	406867				1
439375	Ortsmitte| Ummendorf	29	490747				1
439847	Gh. Fränkischer Hof|	29	466342				1
440063	Neunkirchen Kirche|	29	440063				1
440415	Bahnhof| Königswinte	29	440415				1
440495	Rathaus| Niederlauer	29	465590				1
440599	Wissen Selbach Ort|	29	440599				1
440619	Wissen Mittelhof Kir	29	440619				1
440715	Otto-Kaufmann-Str.|	29	440715				1
440837	Busbf| Lindlar	29	440837				1
440874	Bahnhof| Nörvenich	29	440874				1
441347	Bertha-von-Suttner-P	29	441347				1
441551	Bergstr.| Niederkass	29	441551				1
441658	Busbf| Morsbach	29	441658				1
441800	Beuel Konrad-Adenaue	29	441800				1
441898	Stadthaus| Lohmar	29	441898				1
442288	Bornheim (Rheinland)	29	442288				1
442597	Hangelar Mitte| Sank	29	442597				1
442655	Staffelbach Bahnhof|	29	465763				1
442976	Alanus Hochschule| A	29	442976				1
443110	Bahnhof| Siegburg	29	443110				1
443112	Zentrum| Sankt Augus	29	443112				1
443757	Hauptbahnhof| Bonn	29	443757				1
444207	Bahnhofstr.| Hückesw	29	444207				1
444313	Denkmal| Ruppichtero	29	444313				1
444495	Altes Rathaus| Gunde	29	464549				1
444518	Busbf.| Waldbröl	29	444518				1
444627	Wesseling Mitte	29	444627				1
444670	Markt| Drolshagen	29	444670				1
444837	Rathaus| Wiehl	29	444837				1
444859	Post| Much	29	444859				1
445055	Burgebr. Einkaufsmar	29	464405				1
445065	Busbf| Burscheid (Rh	29	445065				1
445249	Rathaus| Kürten	29	445249				1
445366	Hermülheim| Hürth	29	445366				1
445373	Rathaus| Frechen	29	445373				1
445375	Vehlberg| Aurach	29	462442				1
445447	Römershag Ort| Bad B	29	465278				1
445559	Funkenhof| Odenthal	29	445559				1
445581	Eckenhagen| Reichsho	29	445581				1
445597	Graf-Eberhard-Platz/	29	445597				1
445855	Dorfgütingen| Feucht	29	461841				1
446327	Bahnhof| Medard	29	404455				1
446895	Am Steinberg| Mainbe	29	467380				1
447127	Turnplatz| Rehborn	29	406866				1
447695	Dorfplatz| Mistelbac	29	463143				1
447847	Stadtmitte| Bad Lipp	29	920605				1
448457	Hamm (Sieg) Birkenbe	29	448457				1
448458	Ortsmitte| Brucherts	29	448458				1
448460	Busbf| Hamm (Sieg)	29	448460				1
448466	Hamm (Sieg) Ückertse	29	448466				1
448468	Niederhausen Brunnen	29	448468				1
448477	Nisterbrück| Roth b	29	448477				1
449055	Bußmannshausen Rotbr	29	490843				1
449447	Bad Fredeburg Sparka	29	412873				1
449855	Roßberg Bahnhof| Wol	29	490120				1
450895	Kirche| Saal a.d. Sa	29	465681				1
451767	Oberbach Ortsmitte|	29	466364				1
452727	Bahnhof| Dielkirchen	29	405924				1
453068	OberStraße| Kirchber	29	453068				1
453527	Karlsthal Abzw.| Ste	29	403664				1
454327	Bahnhof| Meisenheim	29	406869				1
454591	Kappeler Straße| Kir	29	454591				1
454592	Lautzenhausen Ort	29	454592				1
454822	Rathaus| Simmern (Hu	29	454822				1
455375	Post| Stimpfach	29	420512				1
455554	Rathaus| Argenthal	29	455554				1
455695	Mistelgau Ort	29	463140				1
455715	Niedersohrener Straß	29	455715				1
455927	Abzw. Bahnhof| Medar	29	406923				1
456058	Kinderheim St. Marti	29	456058				1
456561	Bahnhof| Altenkirche	29	456561				1
456594	Bahnhof| Ingelbach	29	456594				1
456604	Gemeindehaus| Ingelb	29	456604				1
456710	Wyhler Straße| Forch	29	499624				1
456912	Hauptstraße| Emmerzh	29	456912				1
456913	Spichwiese| Mauden	29	456913				1
456914	Daadener Straße| Der	29	456914				1
457295	Pittersdorf| Hummelt	29	463142				1
457308	Nisterberg	29	457308				1
457452	Hauptbahnhof| Trier	29	457452				1
457855	Rot Orsenhauser Str.	29	490838				1
458161	Busbf| Hellenthal	29	458161				1
458276	Hauptbahnhof| Wittli	29	458276				1
458829	Bahnhof| Ahrbrück	29	458829				1
459331	Am Denkmal| Sohren	29	459331				1
459333	Raiffeisenstraße| Bü	29	459333				1
459375	Aigeltshofen| Isny i	29	490149				1
459560	Berkum EKZ| Wachtber	29	459560				1
459695	Sengenthal Nord	29	460331				1
460030	Ringstraße| Beilngri	29	460030				1
460059	Bahnhof| Ansbach (Mi	29	460059				1
460179	Siedlung| Schnelldor	29	460179				1
460255	Deutscher Hof| Beiln	29	461553				1
460273	Abzw. Wellesberg| Wa	29	460273				1
460348	Bahnhof| Schnelldorf	29	460348				1
460457	Walkmühlweg| Feuchtw	29	460457				1
460617	Löwenstraße| Bischof	29	460617				1
460722	Breslauer Str.| Utte	29	460722				1
460723	Marloffsteiner Str.|	29	460723				1
460724	Weiher| Uttenreuth	29	460724				1
460728	Erlanger Str.| Neunk	29	460727				1
460729	Nürnberger Str.| Neu	29	460729				1
460730	Busbahnhof| Neunkirc	29	460728				1
460734	Eschenau Apotheke| E	29	460734				1
460861	Hauptendorf. Str.| H	29	460861				1
460862	Berufsschule| Herzog	29	460862				1
461055	ZOB| Creglingen	29	465246				1
461295	Bahnhof| Hollfeld	29	463128				1
461375	Abzw. Wadendorf| Pla	29	463001				1
461447	Rupboden Hirschgrabe	29	466345				1
461495	Rappersdorf Ortsmitt	29	461495				1
461527	Bahnhof| Kettenheim	29	405712				1
461551	Neumarkter Straße| B	29	461551				1
461855	Marktplatz| Ebrach	29	464420				1
462207	ZOB| Bad Neustadt a.	29	462207				1
462327	Ortsmitte| Neuhemsba	29	405668				1
462525	Abzw. Himmelkron B30	29	462525				1
462589	ZOB| Kulmbach	29	462589				1
462838	Ortsmitte| Neudrosse	29	462838				1
462860	Bahnhof| Thurnau	29	462860				1
462963	Neuenreuth B2| Creuß	29	462963				1
462975	Pollanten Süd| Berch	29	468749				1
463127	Brücke| Münster-Sarm	29	406660				1
